Fullname,population
Auburn A Street Loop,3546.0
Auburn SR 164 Widening (Hemlock to Poplar),4611.0
Bellevue 120th Ave NE Stage 4,2754.0
Bellevue Mountains to Sound Greenway Trail,5422.0
Black Diamond SR 169 Corridor Improvements,1077.0
Covington SR 516 - 185th to 192nd,4198.0
Covington SR 516 and Covington Way,2690.0
Issaquah Newport Way NW Improvement Project,3524.0
Issaquah-Hobart and May Valley Intersection,436.0
NE Woodinville Duvall Rd and W Snoqualmie Valley Rd,39.0
North Bend Bendigo Blvd N/W 4th St Roundabout,1732.0
Pacific West Valley Highway Reconstruction,3042.0
Redmond 70th Street Extension,2450.0
Renton NE Sunset Blvd (SR 900),12095.0
Sammamish Issaquah Fall City Road Project,8885.0
SeaTac 34th Ave S Phase 2,10389.0
Seattle Downtown Bike Network,62351.0
