Lanes,SpeedLimit,AreaType,Factor,BikeFacility
2,25,Neighborhood,0.1,NoBikeFacility
2,30,Neighborhood,0.15,NoBikeFacility
2,25,Other,0.2,NoBikeFacility
2,30,Other,0.4,NoBikeFacility
2,35,Other,1,NoBikeFacility
2,25,Neighborhood,0.09,Sharrows
2,30,Neighborhood,0.14,Sharrows
2,25,Other,0.18,Sharrows
2,30,Other,0.36,Sharrows
2,35,Other,0.9,Sharrows
2,25,Neighborhood,0.05,BikeLane
2,30,Neighborhood,0.08,BikeLane
2,25,Other,0.1,BikeLane
2,30,Other,0.2,BikeLane
2,35,Other,0.5,BikeLane
2,25,Neighborhood,0.04,BufferedBikeLane
2,30,Neighborhood,0.05,BufferedBikeLane
2,25,Other,0.07,BufferedBikeLane
2,30,Other,0.14,BufferedBikeLane
2,35,Other,0.35,BufferedBikeLane
2,25,Neighborhood,0.03,ProtectedBikeLane
2,30,Neighborhood,0.04,ProtectedBikeLane
2,25,Other,0.05,ProtectedBikeLane
2,30,Other,0.1,ProtectedBikeLane
2,35,Other,0.25,ProtectedBikeLane
2,25,Neighborhood,0,SharedUsePath
2,30,Neighborhood,0,SharedUsePath
2,25,Other,0,SharedUsePath
2,30,Other,0,SharedUsePath
2,35,Other,0,SharedUsePath
3,25,Other,0.2,NoBikeFacility
3,30,Other,0.4,NoBikeFacility
3,35,Other,1,NoBikeFacility
3,25,Other,0.18,Sharrows
3,30,Other,0.36,Sharrows
3,35,Other,0.9,Sharrows
3,25,Other,0.1,BikeLane
3,30,Other,0.2,BikeLane
3,35,Other,0.5,BikeLane
3,25,Other,0.07,BufferedBikeLane
3,30,Other,0.14,BufferedBikeLane
3,35,Other,0.35,BufferedBikeLane
3,25,Other,0.05,ProtectedBikeLane
3,30,Other,0.1,ProtectedBikeLane
3,35,Other,0.25,ProtectedBikeLane
3,25,Other,0,SharedUsePath
3,30,Other,0,SharedUsePath
3,35,Other,0,SharedUsePath
4,25,Other,0.35,NoBikeFacility
4,30,Other,0.7,NoBikeFacility
4,35,Other,1.2,NoBikeFacility
4,25,Other,0.32,Sharrows
4,30,Other,0.63,Sharrows
4,35,Other,1.08,Sharrows
4,25,Other,0.18,BikeLane
4,30,Other,0.35,BikeLane
4,35,Other,0.6,BikeLane
4,25,Other,0.12,BufferedBikeLane
4,30,Other,0.25,BufferedBikeLane
4,35,Other,0.42,BufferedBikeLane
4,25,Other,0.09,ProtectedBikeLane
4,30,Other,0.18,ProtectedBikeLane
4,35,Other,0.3,ProtectedBikeLane
4,25,Other,0,SharedUsePath
4,30,Other,0,SharedUsePath
4,35,Other,0,SharedUsePath
5,25,Other,0.35,NoBikeFacility
5,30,Other,0.7,NoBikeFacility
5,35,Other,1.2,NoBikeFacility
5,25,Other,0.32,Sharrows
5,30,Other,0.63,Sharrows
5,35,Other,1.08,Sharrows
5,25,Other,0.18,BikeLane
5,30,Other,0.35,BikeLane
5,35,Other,0.6,BikeLane
5,25,Other,0.12,BufferedBikeLane
5,30,Other,0.25,BufferedBikeLane
5,35,Other,0.42,BufferedBikeLane
5,25,Other,0.09,ProtectedBikeLane
5,30,Other,0.18,ProtectedBikeLane
5,35,Other,0.3,ProtectedBikeLane
5,25,Other,0,SharedUsePath
5,30,Other,0,SharedUsePath
5,35,Other,0,SharedUsePath
6,25,Other,0.67,NoBikeFacility
6,30,Other,0.8,NoBikeFacility
6,35,Other,1.4,NoBikeFacility
6,25,Other,0.6,Sharrows
6,30,Other,0.72,Sharrows
6,35,Other,1.26,Sharrows
6,25,Other,0.34,BikeLane
6,30,Other,0.4,BikeLane
6,35,Other,0.7,BikeLane
6,25,Other,0.23,BufferedBikeLane
6,30,Other,0.28,BufferedBikeLane
6,35,Other,0.49,BufferedBikeLane
6,25,Other,0.17,ProtectedBikeLane
6,30,Other,0.2,ProtectedBikeLane
6,35,Other,0.35,ProtectedBikeLane
6,25,Other,0,SharedUsePath
6,30,Other,0,SharedUsePath
6,35,Other,0,SharedUsePath
