Lanes,SpeedLimit,AADT_min,AADT_max,BTLS,BikeFacility
1,20,0,750,1,NoBikeFacility
1,25,0,750,2,NoBikeFacility
1,30,0,750,3,NoBikeFacility
1,35,0,750,4,NoBikeFacility
1,40,0,750,4,NoBikeFacility
1,45,0,750,4,NoBikeFacility
1,50,0,750,4,NoBikeFacility
1,20,751,1500,1,NoBikeFacility
1,25,751,1500,2,NoBikeFacility
1,30,751,1500,3,NoBikeFacility
1,35,751,1500,4,NoBikeFacility
1,40,751,1500,4,NoBikeFacility
1,45,751,1500,4,NoBikeFacility
1,50,751,1500,4,NoBikeFacility
1,20,1501,3000,2,NoBikeFacility
1,25,1501,3000,2,NoBikeFacility
1,30,1501,3000,3,NoBikeFacility
1,35,1501,3000,4,NoBikeFacility
1,40,1501,3000,4,NoBikeFacility
1,45,1501,3000,4,NoBikeFacility
1,50,1501,3000,4,NoBikeFacility
1,20,3001,999999,2,NoBikeFacility
1,25,3001,999999,3,NoBikeFacility
1,30,3001,999999,3,NoBikeFacility
1,35,3001,999999,4,NoBikeFacility
1,40,3001,999999,4,NoBikeFacility
1,45,3001,999999,4,NoBikeFacility
1,50,3001,999999,4,NoBikeFacility
2,20,0,6000,3,NoBikeFacility
2,25,0,6000,3,NoBikeFacility
2,30,0,6000,3,NoBikeFacility
2,35,0,6000,4,NoBikeFacility
2,40,0,6000,4,NoBikeFacility
2,45,0,6000,4,NoBikeFacility
2,50,0,6000,4,NoBikeFacility
2,20,6001,999999,3,NoBikeFacility
2,25,6001,999999,3,NoBikeFacility
2,30,6001,999999,4,NoBikeFacility
2,35,6001,999999,4,NoBikeFacility
2,40,6001,999999,4,NoBikeFacility
2,45,6001,999999,4,NoBikeFacility
2,50,6001,999999,4,NoBikeFacility
3,20,0,999999,4,NoBikeFacility
3,25,0,999999,4,NoBikeFacility
3,30,0,999999,4,NoBikeFacility
3,35,0,999999,4,NoBikeFacility
3,40,0,999999,4,NoBikeFacility
3,45,0,999999,4,NoBikeFacility
3,50,0,999999,4,NoBikeFacility
1,20,0,750,1,BikeLane
1,25,0,750,1,BikeLane
1,30,0,750,2,BikeLane
1,35,0,750,3,BikeLane
1,40,0,750,4,BikeLane
1,45,0,750,4,BikeLane
1,50,0,750,4,BikeLane
1,20,751,1500,1,BikeLane
1,25,751,1500,1,BikeLane
1,30,751,1500,2,BikeLane
1,35,751,1500,3,BikeLane
1,40,751,1500,4,BikeLane
1,45,751,1500,4,BikeLane
1,50,751,1500,4,BikeLane
1,20,1501,3000,1,BikeLane
1,25,1501,3000,1,BikeLane
1,30,1501,3000,2,BikeLane
1,35,1501,3000,3,BikeLane
1,40,1501,3000,4,BikeLane
1,45,1501,3000,4,BikeLane
1,50,1501,3000,4,BikeLane
1,20,3001,999999,2,BikeLane
1,25,3001,999999,2,BikeLane
1,30,3001,999999,2,BikeLane
1,35,3001,999999,3,BikeLane
1,40,3001,999999,4,BikeLane
1,45,3001,999999,4,BikeLane
1,50,3001,999999,4,BikeLane
2,20,0,6000,2,BikeLane
2,25,0,6000,2,BikeLane
2,30,0,6000,2,BikeLane
2,35,0,6000,3,BikeLane
2,40,0,6000,4,BikeLane
2,45,0,6000,4,BikeLane
2,50,0,6000,4,BikeLane
2,20,6001,999999,2,BikeLane
2,25,6001,999999,2,BikeLane
2,30,6001,999999,3,BikeLane
2,35,6001,999999,3,BikeLane
2,40,6001,999999,4,BikeLane
2,45,6001,999999,4,BikeLane
2,50,6001,999999,4,BikeLane
3,20,0,999999,3,BikeLane
3,25,0,999999,3,BikeLane
3,30,0,999999,3,BikeLane
3,35,0,999999,4,BikeLane
3,40,0,999999,4,BikeLane
3,45,0,999999,4,BikeLane
3,50,0,999999,4,BikeLane
1,20,0,750,1,BufferedBikeLane
1,25,0,750,1,BufferedBikeLane
1,30,0,750,2,BufferedBikeLane
1,35,0,750,3,BufferedBikeLane
1,40,0,750,4,BufferedBikeLane
1,45,0,750,4,BufferedBikeLane
1,50,0,750,4,BufferedBikeLane
1,20,751,1500,1,BufferedBikeLane
1,25,751,1500,1,BufferedBikeLane
1,30,751,1500,2,BufferedBikeLane
1,35,751,1500,3,BufferedBikeLane
1,40,751,1500,4,BufferedBikeLane
1,45,751,1500,4,BufferedBikeLane
1,50,751,1500,4,BufferedBikeLane
1,20,1501,3000,1,BufferedBikeLane
1,25,1501,3000,1,BufferedBikeLane
1,30,1501,3000,2,BufferedBikeLane
1,35,1501,3000,3,BufferedBikeLane
1,40,1501,3000,4,BufferedBikeLane
1,45,1501,3000,4,BufferedBikeLane
1,50,1501,3000,4,BufferedBikeLane
1,20,3001,999999,2,BufferedBikeLane
1,25,3001,999999,2,BufferedBikeLane
1,30,3001,999999,2,BufferedBikeLane
1,35,3001,999999,3,BufferedBikeLane
1,40,3001,999999,4,BufferedBikeLane
1,45,3001,999999,4,BufferedBikeLane
